 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
443,5620418,8,5,379,3312,198,0,47.375,73.901358,1588,0,662.4,794.6815713999997,656.7127214,2.312995226,468368.1667,1418810.996,4966935,4,5620418,802916.8571,1840401.009,4966935,4,310572,77643.0,87629.63391,156167,220,0,0,0,0,172,112,1.4233816769999998,0.8896135479999999,0,1588,263.6428571,540.8698986,292540.2473,0,0,0,1,0,0,0,0,0,283.9230769,47.375,662.4,172,0,0,0,0,0,0,8,379,5,3312,8192,60,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
57852,209774,5,2,11601,26,8760,0,2320.2,3803.229575,20,6,13.0,9.899494937,55426.31594,33.369245,34962.33333,79710.74249,197384,9,209774,52443.5,96793.03628,197384,60,9,9.0,0.0,9,9,0,0,0,0,124,40,23.835175,9.534069999,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,0,1661.0,2320.2,13.0,124,0,0,0,0,0,0,5,11601,2,26,8192,256,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,921964,1,1,6,31,6,6,6.0,0.0,31,31,31.0,0.0,40.13171881,2.169282098,921964.0,0.0,921964,921964,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,1.084641049,1.084641049,6,31,14.33333333,14.43375673,208.33333330000002,1,0,0,0,0,0,0,0,1,21.5,6.0,31.0,20,0,0,0,0,0,0,1,6,1,31,0,939,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5116494,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.78178534,1705498.0,2922328.764,5079847,102,5116494,2558247.0,3566080.9189999998,5079847,36647,0,0.0,0.0,0,0,0,0,0,0,104,40,0.586339005,0.195446335,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,42408,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,198,2,2,82,338,41,41,41.0,0.0,169,169,169.0,0.0,2121212.121,20202.0202,66.0,108.25433020000001,191,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,10101.0101,10101.0101,41,169,92.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,115.25,41.0,169.0,40,0,0,0,0,0,0,2,82,2,338,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
35436,784,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2551.020408,784.0,0.0,784,784,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,1275.510204,1275.510204,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,227,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,306,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,725490.196078431,13071.895424836599,102.0,137.2151595124,258,0,0,0.0,0.0,0,0,48,48.0,0.0,48,48,0,0,0,0,64,64,6535.9477124182995,6535.9477124182995,32,79,50.8,25.7429602027,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49118,30803,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,97.39311106059999,15401.5,21779.5959673268,30802,1,30803,15401.5,21779.5959673268,30802,1,0,0.0,0.0,0,0,0,0,0,0,96,0,97.39311106059999,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,357,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
63786,174764,2,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,102.99604037440001,28.610011215100002,43691.0,87314.6781551266,174663,1,174764,174764.0,0.0,174764,174764,4,2.0,1.4142135624,3,1,0,0,0,0,64,60,11.444004485999999,17.1660067291,0,6,3.0,3.286335345,10.8,0,0,0,0,1,0,0,0,1,3.6,0.0,6.0,64,0,0,0,0,0,0,2,0,3,18,114,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,184,2,2,68,324,34,34,34.0,0.0,162,162,162.0,0.0,2130434.7826087,21739.1304347826,61.3333333333,100.1715195718,177,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,10869.5652173913,10869.5652173913,34,162,85.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,106.5,34.0,162.0,64,0,0,0,0,0,0,2,68,2,324,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5974884,8,5,372,3440,191,0,46.5,71.87687886,1732,0,688.0,840.1345130000003,638.0040182,2.175774459,497907.0,1564262.886,5461028,4,5974884,853554.8571,2032938.2859999998,5461028,4,377148,94287.0,108581.3688,200113,233,0,0,0,0,172,112,1.338938128,0.83683633,0,1732,272.2857143,568.7728258999998,323502.5275,0,0,0,1,0,0,0,0,0,293.2307692,46.5,688.0,172,0,0,0,0,0,0,8,372,5,3440,8192,946,7,20,513852.0,0.0,513852,513852,5461028.0,0.0,5461028,5461028,BENIGN
21,348723,19,24,176,424,43,0,9.263157895,12.853197199999999,51,0,17.66666667,16.31128355,1720.563312,123.30703740000001,8302.928570999999,32959.23633,200311,1,348712,19372.888890000002,52236.70884,200579,3,348611,15157.0,50909.94003,237401,1,0,0,0,0,404,504,54.48450489,68.8225325,0,51,13.63636364,15.27437573,233.30655389999998,0,0,0,1,0,0,0,0,1,13.95348837,9.263157895,17.66666667,404,0,0,0,0,0,0,19,176,24,424,8192,229,12,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
51127,51,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39215.68627,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19607.84314,19607.84314,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,227,65535,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,176,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,11363.636359999999,176.0,0.0,176,176,176,176.0,0.0,176,176,0,0.0,0.0,0,0,0,0,0,0,64,0,11363.636359999999,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,237,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,30004543,11,10,701,6831,324,0,63.7272727273,109.59570330000001,1647,2,683.1,728.5023373714,251.02865256099997,0.6998940127,1500227.15,3582751.47065484,10001210,1,30004543,3000454.3,4747783.96857046,10102571,163,20476551,2275172.33333333,4438308.13413574,10104045,50,0,0,0,0,232,204,0.3666111495,0.3332828632,0,1647,342.3636363636,578.5367046391,334704.718614719,0,0,0,1,0,0,0,0,0,358.6666666667,63.7272727273,683.1,232,0,0,0,0,0,0,11,701,10,6831,8192,31088,10,20,192864.666666667,156052.012593024,373058,102717,9808649.66666667,332262.415548815,10001210,9424987,BENIGN
53,61351,2,2,72,242,36,36,36.0,0.0,121,121,121.0,0.0,5118.090984662,65.1986112696,20450.3333333333,35376.856224562005,61300,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,32.5993056348,32.5993056348,36,121,70.0,46.5564173879,2167.5,0,0,0,0,0,0,0,0,1,87.5,36.0,121.0,64,0,0,0,0,0,0,2,72,2,242,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,193,2,2,80,208,40,40,40.0,0.0,104,104,104.0,0.0,1492227.979,20725.3886,64.33333333,70.26616066,141,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,48,40,10362.6943,10362.6943,40,104,65.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,82.0,40.0,104.0,48,0,0,0,0,0,0,2,80,2,208,-1,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
54524,74,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27027.02703,74.0,0.0,74,74,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13513.513509999999,13513.513509999999,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,939,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
40554,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,69040,3,3,308,330,302,0,102.6666666667,172.6537961741,324,0,110.0,185.3537159056,9241.0196987254,86.9061413673,13808.0,18787.6872578825,34783,4,34253,17126.5,23998.4970466902,34096,157,35050,17525.0,24778.435826339,35046,4,0,0,0,0,72,72,43.4530706837,43.4530706837,0,324,91.14285714290001,151.7140166799,23017.1428571429,0,0,0,1,0,0,0,0,1,106.3333333333,102.6666666667,110.0,72,0,0,0,0,0,0,3,308,3,330,8192,119,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53138,169,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,17751.47929,84.5,115.2584053,166,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,32,11834.319529999999,5917.159763000002,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,404,65535,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,229,2,2,74,154,37,37,37.0,0.0,77,77,77.0,0.0,995633.1878,17467.24891,76.33333333,90.87537253,178,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,80,80,8733.624454,8733.624454,37,77,53.0,21.9089023,480.0,0,0,0,0,0,0,0,0,1,66.25,37.0,77.0,80,0,0,0,0,0,0,2,74,2,154,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
56950,331,2,0,43,0,37,6,21.5,21.92031022,0,0,0.0,0.0,129909.3656,6042.2960729999995,331.0,0.0,331,331,331,331.0,0.0,331,331,0,0.0,0.0,0,0,0,0,0,0,40,0,6042.2960729999995,0.0,6,37,16.33333333,17.89785834,320.3333333,0,0,0,0,1,0,0,0,0,24.5,21.5,0.0,40,0,0,0,0,0,0,2,43,0,0,40958,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1700,99,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,60606.06061,20202.0202,99.0,0.0,99,99,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,10101.0101,10101.0101,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,ATTACK
443,115330853,22,18,2701,3378,2005,0,122.77272727270001,428.08554238809995,1400,0,187.6666666667,435.0288699007,52.709226038599994,0.3468282681,2957201.35897436,4536505.0831756,10013090,4,115330853,5491945.38095238,4985160.24749173,10048028,4,110751367,6514786.29411765,4928524.78117545,10048203,18,0,0,0,0,460,368,0.19075554739999998,0.1560727206,0,2005,148.2682926829,422.1930260195,178246.951219512,0,0,0,1,0,0,0,0,0,151.975,122.77272727270001,187.6666666667,460,0,0,0,0,0,0,22,2701,18,3378,29200,16060,21,20,57345.0909090909,74031.4010045123,280558,34906,10010958.727272699,4705.392546662,10013090,9998810,BENIGN
443,48,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,645833.3333,41666.66667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,1,0,0,0,64,0,41666.66667,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,252,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,102,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19607.84314,102.0,0.0,102,102,102,102.0,0.0,102,102,0,0.0,0.0,0,0,0,0,0,0,40,0,19607.84314,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,16374,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,115596484,28,27,322,23150,322,0,11.5,60.85228015,2896,0,857.4074073999999,984.9533476,203.05115849999999,0.47579301799999996,2140675.63,4078103.042,10000000,5,116000000,4281351.259,4950454.924,10000000,196,110000000,4239295.731000002,5044878.29,10000000,179,0,0,0,0,904,872,0.24222190000000002,0.233571118,0,2896,419.14285710000007,801.5667029,642509.1792,0,0,0,1,0,0,0,0,0,426.7636364,11.5,857.4074073999999,904,0,0,0,0,0,0,28,322,27,23150,29200,59,1,32,19518.63636,14393.6189,62916,14981,10000000.0,1720.43001,10000000,9997373,BENIGN
80,984,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2032.520325,984.0,0.0,984,984,984,984.0,0.0,984,984,0,0.0,0.0,0,0,0,0,0,0,64,0,2032.520325,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,ATTACK
53,59744,4,2,172,194,43,43,43.0,0.0,97,97,97.0,0.0,6126.1381896090015,100.4284949116,11948.8,16397.8104849398,31502,3,31508,10502.6666666667,18185.956129203998,31502,3,4,4.0,0.0,4,4,0,0,0,0,80,40,66.95232994109999,33.4761649705,43,97,58.428571428599994,26.3493019696,694.2857142857001,0,0,0,0,0,0,0,0,0,68.1666666667,43.0,97.0,80,0,0,0,0,0,0,4,172,2,194,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5070105,8,5,412,3013,231,0,51.5,83.77179887,1460,0,602.6,709.1556952000003,675.5284161000002,2.564049462,422508.75,1421089.1230000001,4934736,3,5070105,724300.7143,1856841.376,4934736,3,54541,13635.25,14948.01963,29117,208,0,0,0,0,172,112,1.577876592,0.98617287,0,1460,244.6428571,485.13925159999997,235360.0934,0,0,0,1,0,0,0,0,0,263.46153849999996,51.5,602.6,172,0,0,0,0,0,0,8,412,5,3013,8192,60,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49876,19740,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,151.9756839,9870.0,13932.832019999998,19722,18,19740,19740.0,0.0,19740,19740,0,0.0,0.0,0,0,0,0,0,0,64,32,101.31712259999999,50.658561299999995,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,30,1352,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,4317086,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,41.92642908,1.3898263780000002,863417.2,1879404.26,4225216,3,4317086,1079271.5,2097636.648,4225216,3,0,0.0,0.0,0,0,1,0,0,0,100,20,1.158188649,0.23163773,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,253,361,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
62673,99755607,5,10,11607,68,8760,0,2321.4,3802.315321,20,0,6.8,5.006662228,117.03602790000001,0.150367488,7125400.5,25100000.0,94200000,0,99800000,24900000.0,49800000.0,99700000,576,99700000,11100000.0,31200000.0,94200000,0,0,0,0,0,112,212,0.050122495999999996,0.10024499199999999,0,8760,730.0625,2254.591773,5083184.063,0,0,0,0,1,1,0,0,2,778.7333332999997,2321.4,6.8,112,0,0,0,0,0,0,5,11607,10,68,229,256,3,20,28336.0,0.0,28336,28336,49800000.0,62700000.0,94200000,5525830,BENIGN
50153,19,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,105263.1579,19.0,0.0,19,19,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,52631.57895,52631.57895,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,135,252,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,117372532,13,13,616,4676,194,0,47.3846153846,64.26318082899999,1430,0,359.6923076923,585.2275034286,45.0872100126,0.2215169048,4694901.28,16184982.7327359,58520916,0,117372532,9781044.33333334,22761152.6681097,58596512,578,117279272,9773272.66666667,22777412.1902679,58557351,0,0,0,0,0,272,272,0.1107584524,0.1107584524,0,1430,196.0,431.158100576,185897.307692308,0,0,0,1,0,0,0,0,1,203.53846153849997,47.3846153846,359.6923076923,272,0,0,0,0,0,0,13,616,13,4676,8192,351,12,20,167693.5,105182.84080828,242069,93318,58471855.5,69382.02447680519,58520916,58422795,BENIGN
53,250,2,2,60,344,30,30,30.0,0.0,172,172,172.0,0.0,1616000.0,16000.0,83.33333333,61.19912853,154,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,64,64,8000.0,8000.0,30,172,86.8,77.77660317,6049.2,0,0,0,0,0,0,0,0,1,108.5,30.0,172.0,64,0,0,0,0,0,0,2,60,2,344,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,150,2,2,70,102,35,35,35.0,0.0,51,51,51.0,0.0,1146666.6670000001,26666.66667,50.0,81.40638796,144,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,13333.33333,13333.33333,35,51,41.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,51.75,35.0,51.0,64,0,0,0,0,0,0,2,70,2,102,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5833610,4,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.028522647,1166722.0,2077463.407,4804144,31,5833610,1944536.667,2522500.108,4804144,35159,994312,994312.0,0.0,994312,994312,0,0,0,0,136,80,0.685681765,0.342840882,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,136,0,0,0,0,0,0,4,0,2,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,130652,1,1,62,230,62,62,62.0,0.0,230,230,230.0,0.0,2234.9447386951997,15.307840676,130652.0,0.0,130652,130652,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,7.653920338,7.653920338,62,230,118.0,96.9948452239,9408.0,0,0,0,0,0,0,0,0,1,177.0,62.0,230.0,32,0,0,0,0,0,0,1,62,1,230,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,288156,4,4,200,456,50,50,50.0,0.0,114,114,114.0,0.0,2276.544649,27.76273963,41165.14286,108694.0668,287660,1,287871,95957.0,166159.9658,287822,1,287949,95983.0,166243.9686,287945,1,0,0,0,0,80,80,13.88136981,13.88136981,50,114,78.44444444,33.73096171,1137.777778,0,0,0,0,0,0,0,0,1,88.25,50.0,114.0,80,0,0,0,0,0,0,4,200,4,456,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
